******************************************************************************************************************************************************************************************************************************
CODIGO INSTALACION   : 130391:90437
15:47:19 {TRACE}  : BD:PKPANTALLAS-GET_CONFIG_USUARIO: get_config_usuario
15:47:19 {TRACE}  : IMP.SET_PROPIEDAD: p_propiedad: DESTINO_REPORT_FAX, p_valor: N
15:47:19 {TRACE}  : BD:PKPANTALLAS_AUX-F_HAY_NOTAS_PROGRAMA: p_empresa: 004, p_usuario: EMERCADO, p_programa: FE_FIRMFAC, p_id_personalizacion: 1
15:47:19 {TRACE}  : IMP.SET_PROPIEDAD: p_propiedad: PEDIR_PAGINA_INICIAL, p_valor: N
15:47:19 {TRACE}  : IMP.SET_PROPIEDAD: p_propiedad: HAY_BREPORT_INFORME, p_valor: N
15:47:19 {TRACE}  : IMP.AJUSTE_INICIAL_BREPORT: p_tipo_impresora: A, p_imprimir_excel: S, p_puesto: IAS, p_informe_inicial: , p_imp_dispositivo_def: SCREEN, p_informe_obigatorio: N, p_forzar_habilitar_imp: N
15:47:19 {TRACE}  : BD:PKENTORNO-GET_DATOS_BIP_MWL_PKLIBPNT: get_datos_bip_mwl_pklibpnt
15:47:19 {TRACE}  : PKLIBPNT: CARGAR_DATOS_PROGRAMA
15:47:19 {TRACE}  : BD:PKPANTALLAS-CARGA_DATOS_PROGRAMA: INICIO p_programa: FE_FIRMFAC, p_usuario: EMERCADO, p_empresa: 004, p_prueba_fallos: N, p_idioma: 23, p_lista_valores_contextual: S, p_enviar_excel: S, p_seleccionar_campos_excel: S, p_enviar_grafico: N
15:47:19 {TRACE}  : BD:PKPANTALLAS-CARGA_DATOS_PROGRAMA: CARGAR BLOQUES
15:47:19 {TRACE}  : BD:PKPANTALLAS-CARGA_DATOS_PROGRAMA: CARGAR GRUPOS VALIDACION
15:47:19 {TRACE}  : BD:PKPANTALLAS-CARGA_DATOS_PROGRAMA_PLUGINS: INICIO
15:47:19 {TRACE}  : BD:PKPANTALLAS-GET_VARIABLE_INT_VARCHAR2: p_variable: PKIDIOMAS.REG_FALLOS_TRADUCCION
15:47:19 {TRACE}  : BD:PKPANTALLAS-GET_VARIABLE_INT_VARCHAR2: p_variable: PKIDIOMAS.REG_FALLOS_TRADUCCION
15:47:19 {TRACE}  : BD:PKPANTALLAS-GET_VARIABLE_INT_VARCHAR2: p_variable: PKIDIOMAS.REG_FALLOS_TRADUCCION
15:47:19 {TRACE}  : BD:PKPANTALLAS-GET_VARIABLE_INT_VARCHAR2: p_variable: PKIDIOMAS.REG_FALLOS_TRADUCCION
15:47:19 {TRACE}  : BD:PKPANTALLAS-GET_VARIABLE_INT_VARCHAR2: p_variable: PKIDIOMAS.REG_FALLOS_TRADUCCION
15:47:19 {TRACE}  : BD:PKPANTALLAS-GET_VARIABLE_INT_VARCHAR2: p_variable: PKIDIOMAS.REG_FALLOS_TRADUCCION
15:47:19 {TRACE}  : BD:PKPANTALLAS-GET_VARIABLE_INT_VARCHAR2: p_variable: PKIDIOMAS.REG_FALLOS_TRADUCCION
15:47:19 {TRACE}  : BD:PKPANTALLAS-GET_VARIABLE_INT_VARCHAR2: p_variable: PKIDIOMAS.REG_FALLOS_TRADUCCION
15:47:19 {TRACE}  : BD:PKPANTALLAS-GET_VARIABLE_INT_VARCHAR2: p_variable: PKIDIOMAS.REG_FALLOS_TRADUCCION
15:47:19 {TRACE}  : BD:PKPANTALLAS-CARGA_DATOS_PROGRAMA_TABS: INICIO
15:47:19 {TRACE}  : BD:PKPANTALLAS-CARGA_DATOS_PROGRAMA: CARGAR VENTANAS
15:47:19 {TRACE}  : BD:PKPANTALLAS-CARGA_DATOS_PROGRAMA: CARGAR CAMPOS
15:47:19 {TRACE}  : BD:PKPANTALLAS-PROGRAMA_AUTORIZADO: p_empresa: 004, p_programa: CARASIEN, p_usuario: EMERCADO, p_altas_modificaciones: T, p_programa_actual: FE_FIRMFAC, resultado: true
15:47:19 {TRACE}  : BD:PKPANTALLAS-PROGRAMA_AUTORIZADO: p_empresa: 004, p_programa: CLIENTES, p_usuario: EMERCADO, p_altas_modificaciones: T, p_programa_actual: FE_FIRMFAC, resultado: true
15:47:19 {TRACE}  : BD:PKPANTALLAS-INT_GET_PROGRAMA_ERP_RC: TIPOSFAC NO ENCONTRADO
15:47:19 {TRACE}  : BD:PKPANTALLAS-PROGRAMA_AUTORIZADO: p_empresa: 004, p_programa: TIPOSFAC, p_usuario: EMERCADO, p_altas_modificaciones: T, p_programa_actual: FE_FIRMFAC, resultado: true
15:47:20 {TRACE}  : BD:PKPANTALLAS-PROGRAMA_AUTORIZADO: p_empresa: 004, p_programa: A_MORCME, p_usuario: EMERCADO, p_altas_modificaciones: T, p_programa_actual: FE_FIRMFAC, resultado: true
15:47:20 {TRACE}  : BD:PKPANTALLAS-INT_GET_PROGRAMA_ERP_RC: FE_TIPODOC NO ENCONTRADO
15:47:20 {TRACE}  : BD:PKPANTALLAS-PROGRAMA_AUTORIZADO: p_empresa: 004, p_programa: FE_TIPODOC, p_usuario: EMERCADO, p_altas_modificaciones: T, p_programa_actual: FE_FIRMFAC, resultado: true
15:47:20 {TRACE}  : BD:PKPANTALLAS-PROGRAMA_AUTORIZADO: p_empresa: 004, p_programa: USUARIOS2, p_usuario: EMERCADO, p_altas_modificaciones: T, p_programa_actual: FE_FIRMFAC, resultado: true
15:47:20 {TRACE}  : BD:PKPANTALLAS-CARGA_DATOS_PROGRAMA: PROCESAR CAMPOS
15:47:20 {TRACE}  : BD:PKPANTALLAS-EJECUTA_FUNCION: BEGIN :1 := PKVALIDAR_ENTIDADES.CW_VALIDA_CENTRO_CONTABLE('EMERCADO', '004', 'caracteres_asiento.codigo', 'N');END;
15:47:20 {TRACE}  : BD:PKPANTALLAS-EJECUTA_FUNCION: BEGIN :1 := pkvalidar_entidades.cw_org_comerc_usuarios('EMERCADO', '004', 'organizacion_comercial.codigo_org_comer');END;
15:47:20 {TRACE}  : PKLIBPNT: FIN PKPANTALLAS.CARGAR_DATOS_PROGRAMA
15:47:20 {TRACE}  : RELLENA_LIST_ITEM_DESDE_LV: p_item: B1.TIPO_DOCUMENTO, p_tipo: L, p_valor_por_defecto: 
15:47:20 {TRACE}  : CONSULTA: SELECT c2,c1 FROM (select codigo c1, descripcion c2, tipo_entidad c3, rowid rowid_lov
 from tipos_documentos WHERE TIPO_ENTIDAD='CL' and CODIGO in ('FACVEN','TBAI'))  ORDER BY C1 ASC
15:47:20 {TRACE}  : DISPSTD.SET_PROPIEDAD: p_codigo: B1.TIPO_DOCUMENTO, p_propiedad: VALOR_POR_DEFECTO, p_valor: FACVEN, p_tipo: C
15:47:20 {TRACE}  : RELLENA_LIST_ITEM_DESDE_LV: p_item: B1.TIPO_OPERACION, p_tipo: L, p_valor_por_defecto: E
15:47:20 {TRACE}  : CONSULTA: SELECT c2,c1 FROM (select decode(cont, 1, 'E', 2, 'R', 3, 'D') C1, decode(cont, 1, 'Enviar Facturas a Firmar', 2, 'Reenviar Facturas', 3, 'Descargar Facturas') C2, 'elrowid' rowid_lov from dummy_cont where cont <= 3) 
15:47:20 {TRACE}  : Establecemos orden y where inicial de los bloques
15:47:20 {TRACE}  : PKLIBPNT: FIN CARGAR_DATOS_PROGRAMA
15:47:20 {TRACE}  : LV.SET_PROPIEDAD: p_propiedad: CASE_INSENSITIVE_QUERY, p_valor: S
15:47:20 {TRACE}  : FITEM.SET_PROPIEDAD: p_tipo: SMIP, p_objeto: BOTONES_HORIZONTALES.ESCRITORIO, p_propiedad: 79, p_valor: 4
15:47:20 {TRACE}  : FITEM.SET_PROPIEDAD: p_tipo: SMIP, p_objeto: DESPLAZAMIENTO.ESCRITORIO, p_propiedad: 79, p_valor: 4
15:47:20 {TRACE}  : FIN INICIO
15:47:20 {TRACE}  : WHEN-CREATE-RECORD: B1
15:47:20 {TRACE}  : APLICAR VALOR POR DEFECTO A: B1.TIPO_DOCUMENTO, PARSEAR: N, VALOR: FACVEN
15:47:20 {TRACE}  : APLICAR VALOR POR DEFECTO A: B1.TIPO_OPERACION, PARSEAR: N, VALOR: E
15:47:20 {TRACE}  : INICIALIZANDO PERMISOS: TRUE
15:47:20 {TRACE}  : El programa es llamado desde el menu MDI
15:47:20 {TRACE}  : CARGAR PERMISOS. Usuario: EMERCADO, opción menú: 2V28010, empresa: 004, ROL: 
15:47:20 {TRACE}  : GRABAR_PORT
15:47:20 {TRACE}  : BD:PKPANTALLAS-GRABAR_PORT: p_usuario: EMERCADO, p_superusuario: EMERCADO, p_perfil: 1SISTEMAS, p_menus_perfiles: 2V28010, p_desde_puesto: IAS, p_fecha_conexion: 03-10-2024 15:47:18, p_empresa: 004, p_programa: FE_FIRMFAC, p_id_form: 23, p_sid_escritorio: 15744312, p_form_name: , p_usuario_origen: , p_id_sesion: 141953893, p_usuario_so: edgar.mercado, p_equipo_so: EMERCADO, p_version_cliente_libra: , p_sistema_operativo: , p_texto_host_check: , p_id_personalizacion: 1, p_prueba_fallos: N, p_uuid_cliente_libra: , p_id_port: id_port:15744312.id_port_origen_login:15744312., p_ruta_programa: , p_cadena_control_fuentes: 34.0.F12C.641
15:47:20 {TRACE}  : BD:PKPANTALLAS-SET_EMPRESA_USUARIO: p_empresa: 004, p_usuario: EMERCADO, p_perfil: 1SISTEMAS
15:47:21 {TRACE}  : ORIGEN_PL_SQL: PKLIBPNT\WNFI.CODIGO_PL_SQL_INICIALIZACION
15:47:21 {TRACE}  : PRE_SUST_VARIABLES_SELECT: PKPANTALLAS.INICIALIZAR_CODIGO_PLUG_IN;
PKPANTALLAS.COMANDO_PLUG_IN('STPP','CANVAS_BASE.TAB3', 'VISIBLE', 'PROPERTY_TRUE');
PKPANTALLAS.COMANDO_PLUG_IN('STPP','CANVAS_BASE.TAB4', 'VISIBLE', 'PROPERTY_TRUE');
15:47:21 {TRACE}  : BD:PKPANTALLAS_CU-EJECUTAR_CODIGO_PL_SQL: DECLARE v_ax VARCHAR2(4000); BEGIN:p_parar_ejecucion:=NULL;:p_tipo_mensaje:=NULL;:p_codigo_mensaje:=NULL;:p_texto_mensaje:=NULL;:p_lv_lista_valores:=NULL;:p_lv_ejecutar_consulta:=NULL;:p_lv_where:=NULL;:p_lv_consulta_bd:=NULL;:p_validar_desde_lista:=NULL;:p_ejecutar_programa:=NULL;v_ax:=:p_ejecutado_desde_kni;:p_modo_menu_prog_llamado:=NULL;:p_modo_consulta_prog_llamado:=NULL;:p_codigo_pl_sql:=NULL;:p_valor_campo_ok:=NULL;:p_valor_campo_cancel:=NULL;:p_esperar_fin_programa_llamado:=NULL;PKPANTALLAS.INICIALIZAR_CODIGO_PLUG_IN;
PKPANTALLAS.COMANDO_PLUG_IN('STPP','CANVAS_BASE.TAB3', 'VISIBLE', 'PROPERTY_TRUE');
PKPANTALLAS.COMANDO_PLUG_IN('STPP','CANVAS_BASE.TAB4', 'VISIBLE', 'PROPERTY_TRUE'); END;
15:47:21 {TRACE}  : BD:PKPANTALLAS_CU-EJECUTAR_CODIGO_PL_SQL:   p_ejecutado_desde_kni: S, p_validar_desde_lista: N
15:47:21 {TRACE}  : BD:PKPANTALLAS-INICIALIZAR_CODIGO_PLUG_IN: inicializar_codigo_plug_in
15:47:21 {TRACE}  : BD:PKPANTALLAS-COMANDO_PLUG_IN: p_operacion: STPP, p_parametro1: CANVAS_BASE.TAB3, p_parametro2: VISIBLE, p_parametro3: PROPERTY_TRUE
15:47:21 {TRACE}  : BD:PKPANTALLAS-COMANDO_PLUG_IN: p_operacion: STPP, p_parametro1: CANVAS_BASE.TAB4, p_parametro2: VISIBLE, p_parametro3: PROPERTY_TRUE
15:47:21 {TRACE}  : parar_ejecucion: , tipo_mensaje: , mensaje: , texto_mensaje: , lista_valores: , lv_ejecutar_consulta: , lv_where: , lv_consulta_bd: , ejecutar_programa: , modo_menu_pr_llamado: 39, modo_cons_pr_llamado: 501, codigo_pl_sql: , valor_campo_ok: , valor_campo_cancel: , esperar_fin_prog: 
15:47:21 {TRACE}  : BD:PKPANTALLAS-GET_COMANDOS_PLUG_IN: get_comandos_plug_in
15:47:21 {TRACE}  : BD:PKPANTALLAS-INICIALIZAR_CODIGO_PLUG_IN: inicializar_codigo_plug_in
15:47:21 {TRACE}  : EJECUTAR_CODIGO_PLUG_IN: OPERACION: STPP, P1: CANVAS_BASE.TAB3, P2: VISIBLE, P3: PROPERTY_TRUE
15:47:21 {TRACE}  : EJECUTAR_CODIGO_PLUG_IN: OPERACION: STPP, P1: CANVAS_BASE.TAB4, P2: VISIBLE, P3: PROPERTY_TRUE
15:47:21 {TRACE}  : PKLIBPNT: BOTON_VERTICAL_VISIBLE. p_boton: B01, p_etiqueta: Marcar, p_icono: marcar, p_icono_mapeo: check_boxes_series
15:47:21 {TRACE}  : PKLIBPNT: BOTON_VERTICAL_VISIBLE. p_boton: B02, p_etiqueta: Desmarcar, p_icono: desmarca, p_icono_mapeo: check_box_list-uncheck
15:47:21 {TRACE}  : PKLIBPNT: BOTON_VERTICAL_VISIBLE. p_boton: B03, p_etiqueta: Procesar, p_icono: produccion, p_icono_mapeo: gear_in
15:47:21 {TRACE}  : FITEM.VISIBLE, p_campo: B2.SITUACION_COBRO, p_modo: FALSE
15:47:22 {TRACE}  : WHEN-NEW-BLOCK-INSTANCE: B1
15:47:22 {TRACE}  : FMENU.SET_PROPIEDAD: p_propiedad: ICONO_FILTRAR_CONSULTA, p_valor: B1
15:47:22 {TRACE}  : WHEN-NEW-RECORD-INSTANCE: B1, REGISTRO: 1
15:47:22 {TRACE}  : WHEN-NEW-ITEM-INSTANCE. MODE: NORMAL, BLOQUE: B1, ITEM: B1.TIPO_OPERACION: E
15:47:23 {TRACE}  : WHEN-VALIDATE-ITEM: B1.TIPO_OPERACION
15:47:23 {TRACE}  : FITEM.OBLIGATORIO, p_campo: B1.ORGANIZACION_COMERCIAL, p_modo: TRUE
15:47:23 {TRACE}  : FITEM.OBLIGATORIO, p_campo: B1.DESDE_FECHA, p_modo: TRUE
15:47:23 {TRACE}  : DISPSTD.PRE_TEXT_ITEM: B1.ORGANIZACION_COMERCIAL
15:47:23 {TRACE}  : WHEN-NEW-ITEM-INSTANCE. MODE: NORMAL, BLOQUE: B1, ITEM: B1.ORGANIZACION_COMERCIAL: 
15:47:23 {TRACE}  : LV.SET_LV_GRUPO: N
15:47:23 {TRACE}  : LV.ACTIVA, p_lista_valores: ORGANIZACION_COMERCIAL, p_ejecutar_consulta_aut: S, p_where_defecto: codigo_empresa = :global.codigo_empresa , p_consulta_bd: SELECT codigo_org_comer c1, nombre c2, rowid rowid_lov FROM organizacion_comercial
15:47:23 {TRACE}  : BD:PKPANTALLAS-EJECUTA_FUNCION: BEGIN :1 := pkvalidar_entidades.cw_org_comerc_usuarios('EMERCADO', '004', 'organizacion_comercial.codigo_org_comer');END;
15:47:23 {TRACE}  : LV.SET_PROPIEDAD: p_propiedad: ETIQUETA_BOTON_WHERE, p_valor: 
15:47:23 {TRACE}  : LV.SET_PROPIEDAD: p_propiedad: ETIQUETA_BOTON_WHERE2, p_valor: 
15:47:23 {TRACE}  : LV.SET_PROPIEDAD: p_propiedad: WHERE_LOV2, p_valor: 
15:47:24 {TRACE}  : KEY-NEXT-ITEM: B1.ORGANIZACION_COMERCIAL: 04010
15:47:24 {TRACE}  : VALIDATE_ITEM
15:47:24 {TRACE}  : BD:PKPANTALLAS-GET_COMANDOS_PLUG_IN: get_comandos_plug_in
15:47:25 {TRACE}  : BD:PKPANTALLAS-INICIALIZAR_CODIGO_PLUG_IN: inicializar_codigo_plug_in
15:47:25 {TRACE}  : WHEN-VALIDATE-ITEM: B1.ORGANIZACION_COMERCIAL
15:47:25 {TRACE}  : VALIDACIONES.VALIDAR_DESDE_LISTA. p_item: B1.ORGANIZACION_COMERCIAL, p_intento: 1, p_lv_codigo_lista: ORGANIZACION_COMERCIAL, p_columna_codigo: 1, p_columna_descripcion: 2
15:47:25 {TRACE}  : PRE_SUST_VARIABLES_SELECT: SELECT  nombre, codigo_org_comer FROM organizacion_comercial WHERE codigo_org_comer = :B1.ORGANIZACION_COMERCIAL  AND codigo_empresa = :global.codigo_empresa 
15:47:25 {TRACE}  : VALIDA_CAMPO: p_item_codigo: B1.ORGANIZACION_COMERCIAL, p_item_descripcion: B1.D_ORGANIZACION_COMERCIAL, SELECT: SELECT  nombre, codigo_org_comer FROM organizacion_comercial WHERE codigo_org_comer = :V1  AND codigo_empresa = :V2 
15:47:25 {TRACE}  : FITEM.OBLIGATORIO, p_campo: numero_acuse, p_modo: FALSE
15:47:25 {TRACE}  : DISPSTD.POST_TEXT_ITEM: B1.ORGANIZACION_COMERCIAL
15:47:25 {TRACE}  : LV.DESACTIVA
15:47:25 {TRACE}  : DISPSTD.PRE_TEXT_ITEM: B1.CENTRO_CONTABLE
15:47:25 {TRACE}  : WHEN-NEW-ITEM-INSTANCE. MODE: NORMAL, BLOQUE: B1, ITEM: B1.CENTRO_CONTABLE: 
15:47:25 {TRACE}  : LV.SET_LV_GRUPO: N
15:47:25 {TRACE}  : LV.ACTIVA, p_lista_valores: CARACTERES_ASIENTO, p_ejecutar_consulta_aut: S, p_where_defecto:  empresa = :global.codigo_empresa  AND (NVL(pkpantallas.get_variable_env_varchar2('EXCLUIR_CC_NIIF'),'S') = 'N' OR (NOT EXISTS (SELECT 1 FROM centros_contables_niif n WHERE n.empresa = caracteres_asiento.empresa AND (n.centro_nac = caracteres_asiento.codigo OR n.centro_niif = caracteres_asiento.codigo)))) AND EXISTS (SELECT 1 FROM centros_documentos cd WHERE cd.grupo_balance = caracteres_asiento.grupo_balance AND cd.tipo_documento = :b1.tipo_documento AND cd.empresa = caracteres_asiento.empresa AND cd.digital = 'S'), p_consulta_bd: SELECT codigo c1, nombre c2, rowid rowid_lov FROM caracteres_asiento
15:47:25 {TRACE}  : BD:PKPANTALLAS-EJECUTA_FUNCION: BEGIN :1 := PKVALIDAR_ENTIDADES.CW_VALIDA_CENTRO_CONTABLE('EMERCADO', '004', 'caracteres_asiento.codigo', 'N');END;
15:47:25 {TRACE}  : LV.SET_PROPIEDAD: p_propiedad: ETIQUETA_BOTON_WHERE, p_valor: 
15:47:25 {TRACE}  : LV.SET_PROPIEDAD: p_propiedad: ETIQUETA_BOTON_WHERE2, p_valor: 
15:47:25 {TRACE}  : LV.SET_PROPIEDAD: p_propiedad: WHERE_LOV2, p_valor: 
15:47:26 {TRACE}  : WHEN-VALIDATE-ITEM: B1.CENTRO_CONTABLE
15:47:26 {TRACE}  : VALIDACIONES.VALIDAR_DESDE_LISTA. p_item: B1.CENTRO_CONTABLE, p_intento: 1, p_lv_codigo_lista: CARACTERES_ASIENTO, p_columna_codigo: 1, p_columna_descripcion: 2
15:47:26 {TRACE}  : ORIGEN_PL_SQL: PKLIBPNT\WVI.LV_CODIGO_PL_SQL_VALIDACION(B1.CENTRO_CONTABLE)
15:47:26 {TRACE}  : PRE_SUST_VARIABLES_SELECT: declare
  p_tipo varchar(100);
  p_msg varchar2(100);
begin
  IF :B1.CENTRO_CONTABLE IS NOT NULL THEN
    If not PKCONEMPRESA.buscar_GB_FISCAL(p_empresa => :global.codigo_empresa,
                                         p_grupo_balance => null,
                                         p_centro_contable => :B1.CENTRO_CONTABLE,
                                         p_validar_consolidados => pkpantallas.get_variable_env_varchar2('VALIDAR_CONSOLIDADOS'),
                                         p_tipo_mensaje => p_tipo,
                                         p_codigo_mensaje => p_msg
                                         ) then
      ==P_TIPO_MENSAJE := p_tipo;
      ==P_CODIGO_MENSAJE := p_msg;
      ==P_PARAR_EJECUCION := 'S';
    end if;
  end if;

  --PAULAO(18/11/2019)->añado función para grabar de gorma global el centro contable
  IF :B1.CENTRO_CONTABLE IS NOT NULL THEN
     PKCONEMPRESA.buscar_cc_FISCAL(p_empresa => :global.codigo_empresa,
                                         p_centro_contable => :B1.CENTRO_CONTABLE);
  end if;
  --FIN PAULAO
end;
15:47:26 {TRACE}  :   VINCULAR_VARIABLE: B1.CENTRO_CONTABLE
15:47:26 {TRACE}  :   VINCULAR_VARIABLE: GLOBAL.CODIGO_EMPRESA
15:47:26 {TRACE}  : BD:PKPANTALLAS_CU-EJECUTAR_CODIGO_PL_SQL: DECLARE v_ax VARCHAR2(4000); BEGIN v_ax:=:1; v_ax:=:2;:p_parar_ejecucion:=NULL;:p_tipo_mensaje:=NULL;:p_codigo_mensaje:=NULL;:p_texto_mensaje:=NULL;:p_lv_lista_valores:=NULL;:p_lv_ejecutar_consulta:=NULL;:p_lv_where:=NULL;:p_lv_consulta_bd:=NULL;:p_validar_desde_lista:=NULL;:p_ejecutar_programa:=NULL;v_ax:=:p_ejecutado_desde_kni;:p_modo_menu_prog_llamado:=NULL;:p_modo_consulta_prog_llamado:=NULL;:p_codigo_pl_sql:=NULL;:p_valor_campo_ok:=NULL;:p_valor_campo_cancel:=NULL;:p_esperar_fin_programa_llamado:=NULL;declare
  p_tipo varchar(100);
  p_msg varchar2(100);
begin
  IF :1 IS NOT NULL THEN
    If not PKCONEMPRESA.buscar_GB_FISCAL(p_empresa => :2,
                                         p_grupo_balance => null,
                                         p_centro_contable => :1,
                                         p_validar_consolidados => pkpantallas.get_variable_env_varchar2('VALIDAR_CONSOLIDADOS'),
                                         p_tipo_mensaje => p_tipo,
                                         p_codigo_mensaje => p_msg
                                         ) then
      :p_tipo_mensaje := p_tipo;
      :p_codigo_mensaje := p_msg;
      :p_parar_ejecucion := 'S';
    end if;
  end if;

  --PAULAO(18/11/2019)->añado función para grabar de gorma global el centro contable
  IF :1 IS NOT NULL THEN
     PKCONEMPRESA.buscar_cc_FISCAL(p_empresa => :2,
                                         p_centro_contable => :1);
  end if;
  --FIN PAULAO
end; END;
15:47:26 {TRACE}  : BD:PKPANTALLAS_CU-EJECUTAR_CODIGO_PL_SQL:   p_ejecutado_desde_kni: N, p_validar_desde_lista: S
15:47:26 {TRACE}  : BD:PKPANTALLAS_CU-EJECUTAR_CODIGO_PL_SQL:   1 - B1.CENTRO_CONTABLE: 
15:47:26 {TRACE}  : BD:PKPANTALLAS_CU-EJECUTAR_CODIGO_PL_SQL:   2 - GLOBAL.CODIGO_EMPRESA: 004
15:47:26 {TRACE}  : parar_ejecucion: , tipo_mensaje: , mensaje: , texto_mensaje: , lista_valores: , lv_ejecutar_consulta: , lv_where: , lv_consulta_bd: , ejecutar_programa: , modo_menu_pr_llamado: 39, modo_cons_pr_llamado: 501, codigo_pl_sql: , valor_campo_ok: , valor_campo_cancel: , esperar_fin_prog: 
15:47:26 {TRACE}  : BD:PKPANTALLAS-GET_COMANDOS_PLUG_IN: get_comandos_plug_in
15:47:26 {TRACE}  : BD:PKPANTALLAS-INICIALIZAR_CODIGO_PLUG_IN: inicializar_codigo_plug_in
15:47:26 {TRACE}  : DISPSTD.POST_TEXT_ITEM: B1.CENTRO_CONTABLE
15:47:26 {TRACE}  : LV.DESACTIVA
15:47:26 {TRACE}  : DISPSTD.PRE_TEXT_ITEM: B1.DESDE_FECHA
15:47:26 {TRACE}  : WHEN-NEW-ITEM-INSTANCE. MODE: NORMAL, BLOQUE: B1, ITEM: B1.DESDE_FECHA: 
15:47:28 {TRACE}  : KEY-NEXT-ITEM: B1.DESDE_FECHA: 01
15:47:28 {TRACE}  : VALIDATE_ITEM
15:47:28 {TRACE}  : BD:PKPANTALLAS-GET_COMANDOS_PLUG_IN: get_comandos_plug_in
15:47:28 {TRACE}  : BD:PKPANTALLAS-INICIALIZAR_CODIGO_PLUG_IN: inicializar_codigo_plug_in
15:47:28 {TRACE}  : WHEN-VALIDATE-ITEM: B1.DESDE_FECHA
15:47:28 {TRACE}  : DISPSTD.POST_TEXT_ITEM: B1.DESDE_FECHA
15:47:28 {TRACE}  : LV.DESACTIVA
15:47:28 {TRACE}  : DISPSTD.PRE_TEXT_ITEM: B1.HASTA_FECHA
15:47:28 {TRACE}  : WHEN-NEW-ITEM-INSTANCE. MODE: NORMAL, BLOQUE: B1, ITEM: B1.HASTA_FECHA: 
15:47:29 {TRACE}  : KEY-NEXT-ITEM: B1.HASTA_FECHA: 0
15:47:29 {TRACE}  : VALIDATE_ITEM
15:47:29 {TRACE}  : BD:PKPANTALLAS-GET_COMANDOS_PLUG_IN: get_comandos_plug_in
15:47:29 {TRACE}  : BD:PKPANTALLAS-INICIALIZAR_CODIGO_PLUG_IN: inicializar_codigo_plug_in
